bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,10,0,,,
10,20,9,0.5333333333333333,0.4472135954999579,18.51111111111111
20,30,64,0.33125,0.4439630329241102,29.896874999999998
30,40,77,0.2545454545454546,0.4200706251852665,41.64935064935065
40,50,51,0.17254901960784316,0.35557189504939735,52.90980392156862
50,60,24,0.13333333333333333,0.32122952198871985,67.16666666666667
60,70,12,0.16666666666666666,0.3892494720807615,78.5
70,80,11,0.18181818181818182,0.4045199174779453,90.30909090909091
80,90,4,0.0,0.0,96.15
90,100,4,0.0,0.0,110.55
100,110,5,0.0,0.0,114.92
110,120,1,0.19999999999999996,,164.0
120,130,1,0.0,,155.79999999999998
130,140,2,0.5,0.7071067811865476,146.29999999999998
140,150,1,0.0,,161.6
150,160,2,0.0,0.0,158.7
160,170,0,,,
170,180,1,0.0,,170.6
180,190,0,,,
190,200,0,,,
200,210,0,,,
210,220,0,,,
220,230,1,1.0,,330.59999999999997
230,240,0,,,
240,250,0,,,
250,260,0,,,
260,270,0,,,
270,280,0,,,
280,290,0,,,
290,300,0,,,
300,310,0,,,
310,320,0,,,
320,330,0,,,
330,340,0,,,
340,350,0,,,
350,360,0,,,
360,370,0,,,
370,380,0,,,
380,390,0,,,
390,400,0,,,
400,410,0,,,
410,420,0,,,
420,430,0,,,
430,440,0,,,
440,450,0,,,
450,460,0,,,
460,470,0,,,
470,480,0,,,
480,490,0,,,
490,500,0,,,
500,510,0,,,
510,520,0,,,
520,530,0,,,
530,540,0,,,
540,550,0,,,
550,560,0,,,
560,570,0,,,
570,580,0,,,
580,590,0,,,
590,600,1,0.0,,817.9999999999999
