bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,10,268,0.7365671641791045,0.4225907335192614,5.656716417910448
10,20,256,0.553125,0.48149074065171105,15.0453125
20,30,175,0.39542857142857146,0.4653286001048437,27.47542857142857
30,40,112,0.28750000000000003,0.42429061092902176,41.425
40,50,69,0.1971014492753623,0.36379172066895704,52.53913043478261
50,60,33,0.1272727272727273,0.3194455423784382,68.18787878787879
60,70,17,0.11764705882352941,0.3321055820775357,77.30588235294117
70,80,11,0.18181818181818182,0.4045199174779453,90.30909090909091
80,90,4,0.0,0.0,96.15
90,100,5,0.0,0.0,107.44000000000001
100,110,7,0.0,0.0,116.08571428571429
110,120,1,0.19999999999999996,,164.0
120,130,1,0.0,,155.79999999999998
130,140,2,0.5,0.7071067811865476,146.29999999999998
140,150,2,0.0,0.0,178.1
150,160,2,0.0,0.0,158.7
160,170,0,,,
170,180,1,0.0,,170.6
180,190,0,,,
190,200,0,,,
200,210,0,,,
210,220,0,,,
220,230,1,1.0,,330.59999999999997
230,240,0,,,
240,250,0,,,
250,260,0,,,
260,270,0,,,
270,280,0,,,
280,290,0,,,
290,300,0,,,
300,310,0,,,
310,320,0,,,
320,330,0,,,
330,340,0,,,
340,350,0,,,
350,360,0,,,
360,370,0,,,
370,380,0,,,
380,390,0,,,
390,400,0,,,
400,410,0,,,
410,420,0,,,
420,430,0,,,
430,440,0,,,
440,450,0,,,
450,460,0,,,
460,470,0,,,
470,480,0,,,
480,490,0,,,
490,500,0,,,
500,510,0,,,
510,520,0,,,
520,530,0,,,
530,540,0,,,
540,550,0,,,
550,560,0,,,
560,570,0,,,
570,580,0,,,
580,590,0,,,
590,600,1,0.0,,817.9999999999999
